자파,67,160
사파,45,185
마라,96,162
타나,44,140
아하,92,177
나자,97,158
파자,57,176
아다,59,159
라파,71,149
바아,66,160
사나,56,140
가다,63,184
차차,59,180
타나,78,153
라타,66,180
나가,59,172
하차,73,178
아파,78,169
차아,76,177
아카,73,187
마차,93,175
파라,74,142
아타,82,159
라마,94,156
자바,80,168
가차,72,141
가타,55,146
아나,61,155
차바,95,163
마나,44,164
카가,40,163
차마,71,157
다카,50,184
타마,65,155
라다,49,180
파바,52,186
차하,61,183
아바,44,168
아나,60,148
다하,71,148
자파,81,163
아아,51,169
자자,85,162
가카,89,152
바카,42,184
바라,41,187
마타,73,188
파아,79,155
카카,95,183
카카,43,184
가파,99,185
사마,43,177
파마,48,162
차나,99,180
차자,56,154
타라,82,186
하하,41,160
차사,52,145
자라,68,175
자마,75,161
차차,42,153
자바,91,148
자타,71,148
카파,82,176
차자,63,188
파나,51,181
하파,76,146
아하,71,181
하자,67,155
파사,94,161
카자,71,144
바라,93,169
아가,81,155
카카,62,173
아다,58,181
나차,61,141
차가,78,159
마바,61,152
카아,50,175
나마,65,179
파라,65,141
사타,70,173
차자,85,184
파하,83,143
바차,49,174
마타,74,184
바마,45,179
카차,95,150
차파,46,171
바자,56,184
바바,64,173
하타,79,168
마사,99,167
나바,85,173
자나,69,168
차사,87,147
라바,44,151
마라,87,173
마파,62,167
아다,49,177
다카,45,169
가다,89,163
가바,71,165
하파,47,157
타파,83,150
다마,68,179
나라,78,163
다차,75,179
하나,45,168
아자,73,182
카나,55,188
다차,75,160
하사,69,175
타바,70,169
바가,98,177
다다,62,173
마파,85,173
나아,44,177
하하,84,161
카아,90,155
아마,89,180
다사,41,176
가파,60,176
바가,95,189
나사,91,183
바자,51,166
카카,48,166
타하,87,175
바나,98,163
카다,76,163
파사,88,159
타카,94,179
마나,55,171
카카,88,180
마바,96,145
사나,45,158
카카,99,148
타다,61,165
나자,58,159
차타,44,164
라나,45,169
자다,80,159
하가,62,160
파나,79,184
바나,81,170
다자,57,155
바나,93,155
카타,81,174
가카,87,151
차자,84,141
사파,86,157
나아,43,162
사나,40,142
하하,84,183
사다,99,167
파나,53,154
나자,80,149
차마,92,162
마바,65,144
마카,59,177
마카,63,183
아나,50,164
하카,57,180
파나,59,180
라하,52,188
하마,53,146
하하,66,177
사다,86,145
차마,80,163
자나,87,150
자사,60,155
가마,68,154
사파,77,145
카아,57,162
바타,92,149
하나,61,186
나나,66,167
아파,59,187
사사,71,159
파나,74,168
라자,52,168
타타,97,184
다차,89,148
마아,57,163
나다,91,150
마파,74,182
라차,43,184
가마,57,159
나라,42,154
카나,74,154
마바,96,151
바하,69,187
사카,80,153
나마,72,158
타파,83,169
라하,47,181
타파,85,189
카바,44,154
마다,47,185
다라,43,143
파다,56,145
차차,45,160
타바,85,173
가아,55,155
라하,75,161
바차,67,151
아타,51,180
자하,87,164
가바,83,161
파다,81,158
사파,44,159
자차,78,164
나다,89,172
카자,50,187
라하,99,188
나라,40,173
나카,59,141
마사,90,149
자하,69,152
라가,99,154
차라,84,164
파카,69,172
자타,44,148
파아,53,156
라타,99,177
타바,73,171
마차,66,179
아바,94,141
바아,92,170
타마,40,188
사카,43,175
자가,98,182
사차,76,145
다나,42,141
마타,45,161
사라,48,171
카라,75,183
하라,79,181
차가,52,185
라아,67,180
아사,96,174
파아,63,154
차타,66,181
가나,81,177
바아,63,166
카가,97,178
마사,41,174
차나,68,172
타다,57,163
바파,76,171
가카,41,163
나자,58,144
가아,87,176
차바,61,155
자자,45,174
마파,68,178
하파,55,145
마타,44,185
파바,57,182
차차,72,164
다차,88,173
타다,58,144
차다,69,152
바다,92,168
카나,91,188
타사,40,181
다차,61,156
타바,49,150
타하,74,158
라가,49,185
카라,53,166
가나,45,140
바나,86,188
다카,46,170
자사,66,144
라바,55,187
라타,57,141
다다,40,156
파아,64,172
카바,55,142
차가,49,157
카하,91,150
차차,62,184
가다,65,183
사사,43,168
가자,73,166
사마,69,147
타사,99,147
아파,45,169
차타,69,159
